#name=虎码单字
#describe=虎码单字
#author=ID;Peace B
#visible=1
的	u
一	f
是	o
不	c
了	r
在	n
我	t
人	j
他	je
这	vu
有	nv
个	jg
大	m
上	yf
中	d
来	a
地	ge
和	x
说	s
为	i
们	ja
到	y
你	jx
就	g
也	e
以	vj
国	rn
那	au
要	v
时	ok
出	sm
着	gq
可	z
道	h
之	ri
对	rk
会	jb
自	oi
而	l
得	w
下	fy
能	k
过	ku
生	ls
子	hi
于	fn
年	ev
后	xf
发	sr
都	q
里	dl
没	kr
还	cu
所	mt
去	gk
看	uq
事	fd
如	b
用	ty
小	yx
作	jw
多	ll
行	p
只	dh
好	bh
成	na
家	wj
天	fm
她	be
方	lf
然	vm
当	yb
心	hx
起	pv
种	xd
想	eqh
经	ir
现	ne
但	jo
法	kg
无	du
同	mf
么	tk
进	qu
学	kw
面	bm
其	zh
前	hv
已	vi
主	in
从	jj
动	bs
分	hp
把	umb
开	fl
军	wyc
又	ry
两	ml
本	ef
因	rm
定	wt
部	id
与	fa
将	alk
日	or
长	pc
理	ndl
三	ts
些	svm
实	ww
样	egy
十	ns
意	xh
知	od
此	sv
第	rt
力	sl
很	wi
正	fsi
高	gg
手	us
什	jns
身	zs
被	tr
它	wv
明	ov
老	ql
者	qo
公	hk
见	ej
机	eo
向	tm
问	adk
最	oq
使	jf
全	jn
点	yd
情	ha
外	lyb
民	dm
并	hl
战	ydp
关	hmd
工	ug
回	rd
等	rg
相	eqm
二	me
重	ldl
由	dy
头	wm
声	gc
性	hls
应	xk
间	ao
话	sa
文	vw
给	ij
美	gm
业	cy
物	qne
真	nq
体	jef
或	pdf
政	fsh
几	oj
内	mj
利	xp
打	ua
走	pz
新	ie
位	ji
西	vx
再	fmg
产	ixc
加	sd
月	vy
却	gkz
先	qp
制	qrp
特	qg
果	qem
东	ryx
神	fog
儿	pe
才	nt
门	am
太	mi
合	jdk
信	js
表	ati
原	xu
女	bn
更	fo
己	vjj
名	ld
立	il
比	vv
代	jp
四	ys
斯	zht
任	jt
次	we
世	la
便	jfo
听	dtj
提	uo
做	jc
海	kek
水	ks
教	qhh
眼	qi
化	jvb
通	kt
感	nf
王	nw
各	sg
口	dk
气	vq
别	ds
少	yt
处	hy
平	eh
常	srj
解	xt
何	jz
接	uib
目	qm
反	xr
变	zc
笑	rtm
总	hd
入	ju
认	sj
条	he
安	wb
金	zj
及	cj
度	xlr
让	syf
山	vs
马	nm
受	ywr
活	ka
结	igd
数	pb
直	nqf
必	ht
白	ub
指	uv
张	bp
报	uz
论	sjl
员	do
义	ib
放	lh
电	oa
至	yi
五	wu
系	tis
难	rui
命	jdz
建	bu
尔	xyx
件	jq
死	gv
保	jde
完	wmp
许	se
题	ot
场	ga
空	eu
计	sn
怎	wh
光	mg
管	rwk
非	rf
德	wn
强	bd
量	ofd
决	wnj
形	fle
像	jwx
期	zhv
资	weo
队	tjr
清	kav
务	hs
嗯	dr
统	ibp
书	aa
市	zr
司	afd
师	pf
住	jin
即	iz
克	cp
带	lw
飞	cf
南	nmg
区	nb
李	ehi
则	op
觉	kwe
交	ab
社	fg
今	jae
基	zhg
北	av
展	cl
传	jm
连	yu
叫	di
治	kk
路	psg
万	fp
告	qd
科	xj
呢	dcv
思	qh
达	mu
记	svj
转	ym
望	fv
边	su
快	hn
风	obi
色	xm
该	sk
界	qjp
象	wx
权	er
拉	ui
设	srs
且	fq
取	qr
干	eg
收	ih
步	ssi
领	jkw
林	ee
根	ei
往	win
亲	iem
极	ec
求	fk
未	aw
每	ek
程	xdn
式	pug
兵	thb
据	uc
类	pmd
言	sy
规	hej
吧	dmb
品	ddd
确	mx
观	rej
城	gna
虽	dc
失	th
格	es
远	mp
办	sh
元	mpe
运	buc
令	jks
共	lhb
似	jvj
准	wui
请	sav
武	fps
士	gs
改	vh
英	lm
术	eid
车	yc
石	ms
深	kwh
联	qhm
争	xb
吗	dn
院	tw
轻	yr
火	ch
罗	yl
百	fu
夫	hf
离	zb
花	lj
近	tu
切	rpd
识	sdh
造	qdu
组	if
流	kb
算	rql
布	nrj
导	vk
早	on
找	up
候	jgn
满	kl
服	vz
官	wk
整	xhf
爱	yw
字	whi
持	ugk
跟	pig
突	emq
影	og
消	kyv
随	tn
吃	de
商	im
证	sf
单	hq
议	sib
越	pn
存	ng
击	um
精	pa
济	kqq
始	bkd
台	kd
黑	ph
调	smg
需	tle
支	ci
杀	bem
团	rnt
功	usl
具	qhb
华	jvn
脸	vjk
府	xjk
集	ue
周	mgd
青	avy
红	iug
双	rr
九	kj
八	hb
片	ap
半	hu
容	whg
曾	hr
啊	dt
阿	tz
落	lk
显	ocy
除	tjx
尽	ciw
党	spe
照	opd
众	jjj
备	hqt
复	eoh
陈	try
断	pat
